					FCFS One Queue
TaskID		到达时间		服务时间		开始时间		完成时间		周转时间		带权周转时间
1		0		2		0		2		2		1.0
2		1		9		2		11		10		1.1111111111111112
3		2		3		11		14		12		4.0
4		3		2		14		16		13		6.5
5		4		9		16		25		21		2.3333333333333335
6		5		2		25		27		22		11.0
7		6		1		27		28		22		22.0
8		7		2		28		30		23		11.5
9		8		2		30		32		24		12.0
10		9		1		32		33		24		24.0
11		10		3		33		36		26		8.666666666666666
12		11		6		36		42		31		5.166666666666667
13		12		6		42		48		36		6.0
14		13		2		48		50		37		18.5
15		14		9		50		59		45		5.0
16		15		9		59		68		53		5.888888888888889
17		16		6		68		74		58		9.666666666666666
18		17		9		74		83		66		7.333333333333333
19		18		3		83		86		68		22.666666666666668
20		19		2		86		88		69		34.5
21		20		6		88		94		74		12.333333333333334
22		21		6		94		100		79		13.166666666666666
23		22		6		100		106		84		14.0
24		23		9		106		115		92		10.222222222222221
25		24		2		115		117		93		46.5
26		25		9		117		126		101		11.222222222222221
27		26		2		126		128		102		51.0
28		27		3		128		131		104		34.666666666666664
29		28		6		131		137		109		18.166666666666668
30		29		6		137		143		114		19.0
31		30		9		143		152		122		13.555555555555555
32		31		9		152		161		130		14.444444444444445
33		32		6		161		167		135		22.5
34		33		2		167		169		136		68.0
35		34		6		169		175		141		23.5
36		35		9		175		184		149		16.555555555555557
37		36		9		184		193		157		17.444444444444443
38		37		9		193		202		165		18.333333333333332
39		38		1		202		203		165		165.0
40		39		1		203		204		165		165.0
41		40		3		204		207		167		55.666666666666664
42		41		6		207		213		172		28.666666666666668
43		42		6		213		219		177		29.5
44		43		6		219		225		182		30.333333333333332
45		44		6		225		231		187		31.166666666666668
46		45		3		231		234		189		63.0
47		46		6		234		240		194		32.333333333333336
48		47		9		240		249		202		22.444444444444443
49		48		3		249		252		204		68.0
50		49		9		252		261		212		23.555555555555557
51		50		6		261		267		217		36.166666666666664
52		51		9		267		276		225		25.0
53		52		6		276		282		230		38.333333333333336
54		53		2		282		284		231		115.5
55		54		6		284		290		236		39.333333333333336
56		55		1		290		291		236		236.0
57		56		3		291		294		238		79.33333333333333
58		57		9		294		303		246		27.333333333333332
59		58		3		303		306		248		82.66666666666667
60		59		9		306		315		256		28.444444444444443
61		60		1		315		316		256		256.0
62		61		3		316		319		258		86.0
63		62		6		319		325		263		43.833333333333336
64		63		9		325		334		271		30.11111111111111
65		64		3		334		337		273		91.0
66		65		9		337		346		281		31.22222222222222
67		66		2		346		348		282		141.0
68		67		2		348		350		283		141.5
69		68		3		350		353		285		95.0
70		69		3		353		356		287		95.66666666666667
71		70		9		356		365		295		32.77777777777778
72		71		1		365		366		295		295.0
73		72		2		366		368		296		148.0
74		73		9		368		377		304		33.77777777777778
75		74		9		377		386		312		34.666666666666664
76		75		2		386		388		313		156.5
77		76		6		388		394		318		53.0
78		77		2		394		396		319		159.5
79		78		6		396		402		324		54.0
80		79		3		402		405		326		108.66666666666667
81		80		1		405		406		326		326.0
82		81		2		406		408		327		163.5
83		82		6		408		414		332		55.333333333333336
84		83		3		414		417		334		111.33333333333333
85		84		9		417		426		342		38.0
86		85		1		426		427		342		342.0
87		86		2		427		429		343		171.5
88		87		2		429		431		344		172.0
89		88		1		431		432		344		344.0
90		89		3		432		435		346		115.33333333333333
91		90		2		435		437		347		173.5
92		91		3		437		440		349		116.33333333333333
93		92		6		440		446		354		59.0
94		93		3		446		449		356		118.66666666666667
95		94		9		449		458		364		40.44444444444444
96		95		6		458		464		369		61.5
97		96		1		464		465		369		369.0
98		97		9		465		474		377		41.888888888888886
99		98		3		474		477		379		126.33333333333333
100		99		1		477		478		379		379.0
