					SJF One Queue
TaskID		到达时间		服务时间		开始时间		完成时间		周转时间		带权周转时间
1		0		2		0		2		2		1.0
2		1		9		253		262		261		29.0
3		2		3		2		5		3		1.0
4		3		2		5		7		4		2.0
5		4		9		262		271		267		29.666666666666668
6		5		2		8		10		5		2.5
7		6		1		7		8		2		2.0
8		7		2		11		13		6		3.0
9		8		2		13		15		7		3.5
10		9		1		10		11		2		2.0
11		10		3		17		20		10		3.3333333333333335
12		11		6		32		38		27		4.5
13		12		6		51		57		45		7.5
14		13		2		15		17		4		2.0
15		14		9		271		280		266		29.555555555555557
16		15		9		280		289		274		30.444444444444443
17		16		6		121		127		111		18.5
18		17		9		289		298		281		31.22222222222222
19		18		3		22		25		7		2.3333333333333335
20		19		2		20		22		3		1.5
21		20		6		127		133		113		18.833333333333332
22		21		6		133		139		118		19.666666666666668
23		22		6		139		145		123		20.5
24		23		9		298		307		284		31.555555555555557
25		24		2		25		27		3		1.5
26		25		9		307		316		291		32.333333333333336
27		26		2		27		29		3		1.5
28		27		3		29		32		5		1.6666666666666667
29		28		6		145		151		123		20.5
30		29		6		151		157		128		21.333333333333332
31		30		9		316		325		295		32.77777777777778
32		31		9		325		334		303		33.666666666666664
33		32		6		157		163		131		21.833333333333332
34		33		2		40		42		9		4.5
35		34		6		163		169		135		22.5
36		35		9		334		343		308		34.22222222222222
37		36		9		343		352		316		35.111111111111114
38		37		9		352		361		324		36.0
39		38		1		38		39		1		1.0
40		39		1		39		40		1		1.0
41		40		3		42		45		5		1.6666666666666667
42		41		6		169		175		134		22.333333333333332
43		42		6		175		181		139		23.166666666666668
44		43		6		181		187		144		24.0
45		44		6		187		193		149		24.833333333333332
46		45		3		45		48		3		1.0
47		46		6		193		199		153		25.5
48		47		9		361		370		323		35.888888888888886
49		48		3		48		51		3		1.0
50		49		9		370		379		330		36.666666666666664
51		50		6		199		205		155		25.833333333333332
52		51		9		379		388		337		37.44444444444444
53		52		6		205		211		159		26.5
54		53		2		58		60		7		3.5
55		54		6		211		217		163		27.166666666666668
56		55		1		57		58		3		3.0
57		56		3		61		64		8		2.6666666666666665
58		57		9		388		397		340		37.77777777777778
59		58		3		64		67		9		3.0
60		59		9		397		406		347		38.55555555555556
61		60		1		60		61		1		1.0
62		61		3		74		77		16		5.333333333333333
63		62		6		217		223		161		26.833333333333332
64		63		9		406		415		352		39.111111111111114
65		64		3		84		87		23		7.666666666666667
66		65		9		415		424		359		39.888888888888886
67		66		2		67		69		3		1.5
68		67		2		69		71		4		2.0
69		68		3		95		98		30		10.0
70		69		3		100		103		34		11.333333333333334
71		70		9		424		433		363		40.333333333333336
72		71		1		71		72		1		1.0
73		72		2		72		74		2		1.0
74		73		9		433		442		369		41.0
75		74		9		442		451		377		41.888888888888886
76		75		2		77		79		4		2.0
77		76		6		223		229		153		25.5
78		77		2		79		81		4		2.0
79		78		6		229		235		157		26.166666666666668
80		79		3		103		106		27		9.0
81		80		1		81		82		2		2.0
82		81		2		82		84		3		1.5
83		82		6		235		241		159		26.5
84		83		3		106		109		26		8.666666666666666
85		84		9		451		460		376		41.77777777777778
86		85		1		87		88		3		3.0
87		86		2		89		91		5		2.5
88		87		2		91		93		6		3.0
89		88		1		88		89		1		1.0
90		89		3		109		112		23		7.666666666666667
91		90		2		93		95		5		2.5
92		91		3		112		115		24		8.0
93		92		6		241		247		155		25.833333333333332
94		93		3		115		118		25		8.333333333333334
95		94		9		460		469		375		41.666666666666664
96		95		6		247		253		158		26.333333333333332
97		96		1		98		99		3		3.0
98		97		9		469		478		381		42.333333333333336
99		98		3		118		121		23		7.666666666666667
100		99		1		99		100		1		1.0
